ForkLengthMM,R1FracAge,R2FracAge,R3FracAge,ConsensusFracAge
362,4.134157443,4.134157443,4.134157443,4.134157443
386,4.049282326,4.049282326,5.049282326,4.049282326
385,4.049282326,3.049282326,4.049282326,4.049282326
446,6.388782795,6.388782795,6.388782795,6.388782795
665,13.38878279,14.38878279,15.38878279,14.38878279
533,9.399734423,8.399734423,8.399734423,8.399734423
540,10.45449256,7.454492563,8.454492563,8.454492563
557,9.983572558,9.983572558,9.983572558,9.983572558
495,9.983572558,7.983572558,8.983572558,8.983572558
448,7.049282326,4.049282326,5.049282326,6.049282326
502,8.049282326,10.04928233,10.04928233,10.04928233
411,5.052020233,5.052020233,5.052020233,5.052020233
432,6.052020233,5.052020233,5.052020233,5.052020233
406,5.052020233,6.052020233,6.052020233,6.052020233
506,5.052020233,6.052020233,6.052020233,6.052020233
411,4.052020233,5.052020233,5.052020233,5.052020233
514,8.052020233,8.052020233,8.052020233,8.052020233
482,5.065709768,6.065709768,6.065709768,6.065709768
442,5.065709768,5.065709768,5.065709768,5.065709768
424,5.065709768,6.065709768,5.065709768,5.065709768
376,4.065709768,6.065709768,5.065709768,5.065709768
529,9.068447675,9.068447675,8.068447675,9.068447675
462,8.147846978,9.147846978,8.147846978,8.147846978
688,10.10130256,11.10130256,12.10130256,11.10130256
551,6.301169771,8.301169771,8.301169771,8.301169771
570,7.301169771,8.301169771,7.301169771,7.301169771
550,5.301169771,6.301169771,6.301169771,6.301169771
554,5.301169771,5.301169771,4.301169771,5.301169771
844,17.30116977,28.30116977,29.30116977,28.30116977
758,11.30390768,12.30390768,13.30390768,12.30390768
700,11.30390768,14.30390768,13.30390768,12.30390768
307,3.48460954,3.48460954,2.48460954,3.48460954
770,12.33402465,14.33402465,15.33402465,15.33402465
513,10.38330698,5.383306981,7.383306981,7.383306981
585,10.49008535,12.49008535,10.49008535,10.49008535
549,10.49008535,7.490085354,7.490085354,7.490085354
529,7.490085354,7.490085354,7.490085354,7.490085354
679,12.49008535,14.49008535,13.49008535,13.49008535
385,5.490085354,4.490085354,4.490085354,4.490085354
544,8.490085354,6.490085354,8.490085354,8.490085354
601,12.49008535,11.49008535,10.49008535,11.49008535
484,12.49008535,8.490085354,9.490085354,8.490085354
664,13.03011698,11.03011698,11.03011698,11.03011698
380,3.594125821,3.594125821,2.594125821,3.594125821
619,11.95893139,10.95893139,10.95893139,10.95893139
571,10.06570977,11.06570977,11.06570977,11.06570977
397,4.098564652,3.098564652,3.098564652,3.098564652
677,14.5065128,14.5065128,11.5065128,14.5065128
763,25.5065128,25.5065128,26.5065128,25.5065128
